🏻 => 🏻, taglimt taceɛlalt
🏼 => 🏼, tagwlimt taceɛlalt talemmast
🏽 => 🏽, taglimt talemmast
🏾 => 🏾, tagwlimt tubrikt talemmast
🏿 => 🏿, tagwlimt tubrikt
😀 => 😀, acmumeḥ meqqren
😃 => 😃, acmumeh n lfarh
😄 => 😄, acmumeh amesrar
😁 => 😁, acmumeḥ n tuɣmas meṛṛa
😆 => 😆, udem acmumaḥ akked yimi yeldin d wallen imedlen
😅 => 😅, acmumeh n reffu
🤣 => 🤣, axbibed di tmurt si tedsa
😂 => 😂, taḍsa ar imeṭṭawen
🙂 => 🙂, acmumeh afessas
😉 => 😉, udem yemmalen aɣmaz n ti
😊 => 😊, udem innecṛaḥen s wallen icmumḥen
😍 => 😍, udem yecmumhen d wallen igan am wul
😘 => 😘, tasudent d wul
😗 => 😗, tamact
☺ => ☺, udem n ucmumeḥ
😚 => 😚, tasudent allen medlent
😙 => 😙, tasudent meqren
😋 => 😋, ham-ham
😛 => 😛, Udem s yiles
😜 => 😜, Udem yessufɣen iles
🤗 => 🤗, udem yefkan ahennec
🤔 => 🤔, udem ikecmen di ttexmim
🤐 => 🤐, udem d yimi ixaden
🤨 => 🤨, afus irefden iḍudan bejqen
😐 => 😐, war awal
😑 => 😑, udem war asunfal
😶 => 😶, ulac imi
😏 => 😏, acmumeh n tiherci
😒 => 😒, udem ameklu
🙄 => 🙄, baɛar s wallen
😌 => 😌, udem yenirsen
😪 => 😪, udem yeṭṭsen
🤤 => 🤤, asluddu
😴 => 😴, udem anudam
😷 => 😷, udem s tgelmust
🤒 => 🤒, udem s utirmumitr
😎 => 😎, acmumeḥ s nwader n yiṭij
☹ => ☹, udem amiglaz
😮 => 😮, vennej
😯 => 😯, udem war taɣect
😥 => 😥, uk
😣 => 😣, udem akayay
😫 => 😫, udem yeɛyan
👶 => 👶, ṣebyan
🧒 => 🧒, agrud
👦 => 👦, aqruṛ
👧 => 👧, Taqruṛt
🧑 => 🧑, amengaḍ
👨 => 👨, argaz
👩 => 👩, tameṭṭut
🧓 => 🧓, amengaḍ meqqren
👴 => 👴, amɣaṛ
🦰 => 🦰, acekkuḥ azeggaɣ
🦱 => 🦱, acekkuḥ imdewweṛ
🦳 => 🦳, acekkuḥ amellal
🦲 => 🦲, aferḍas
🐵 => 🐵, taqeṛṛuct n ibki
🐒 => 🐒, ivki
🦍 => 🦍, aguril
🐶 => 🐶, taqeṛṛuct n waydi
🐕 => 🐕, aydi
🐩 => 🐩, akennic
🐺 => 🐺, aguleh
🦊 => 🦊, avaṛaɣ
🐱 => 🐱, taqerruct n wemcic
🐜 => 🐜, taweṭṭuft
🐝 => 🐝, tizizwit
🐞 => 🐞, takumda
🦗 => 🦗, ajṛad
🕷 => 🕷, tissist
🕸 => 🕸, azeṭṭa n tissit
🦂 => 🦂, tiɣiṛdemt
💐 => 💐, tafuseț
🌸 => 🌸, ajeğğig n taknisya
💮 => 💮, ajeğğig amellal
🏵 => 🏵, tawardit
🌹 => 🌹, tawerdett
🥀 => 🥀, ajeğğig akiwan
🌺 => 🌺, tivinṣeṛt
🌻 => 🌻, mager iṭṭij
🌼 => 🌼, amgud
🌷 => 🌷, taxlult
🌱 => 🌱, imɣi aleqqaq
🌲 => 🌲, tumert
🌳 => 🌳, aseklu bu yifer
🌴 => 🌴, tazdayt
🌵 => 🌵, Tasiɣawt
🌾 => 🌾, taceṛṛaft n ṛṛuz
🌿 => 🌿, ifer
☘ => ☘, ikeffis
🍀 => 🍀, ikeffis bu kuẓ n wafriwen
🍁 => 🍁, ifer n kikev
🍂 => 🍂, ifer alvivec (ifer ucelvu)
🍃 => 🍃, tamjiwect n ifriwen
🍇 => 🍇, tiẓurin
🍈 => 🍈, afeqqus
🍉 => 🍉, delleɛ
🍊 => 🍊, tamandaritt
🍋 => 🍋, tilimett
🍌 => 🍌, tabanant
🍍 => 🍍, tananast
🥭 => 🥭, tamungatt
🍎 => 🍎, adeffu azeggaɣ
🍏 => 🍏, adeffu azegzaw
🍐 => 🍐, ifires
🍑 => 🍑, taxuxett
🍒 => 🍒, taknisya
🍓 => 🍓, tariwalt
🥝 => 🥝, takiwitt
🍅 => 🍅, taṭumaṭict
🥥 => 🥥, iɣsan n koko
🥑 => 🥑, tavukatt
🍆 => 🍆, tapatengalt
🥔 => 🥔, tabaṭaṭatt
🥕 => 🥕, taẓrudgatt
🌽 => 🌽, ageṭṭuc
🌶 => 🌶, ifelfel azggaɣ
🥒 => 🥒, ilekkel
🥬 => 🥬, Tidelt n iferrawen izegzawen
🍄 => 🍄, taṛeɣlett
🥜 => 🥜, takawkawt
🥄 => 🥄, tajɣelt
🔪 => 🔪, tafruyt n usaččet
🏺 => 🏺, abuqal
🌍 => 🌍, amtiweg turuft tafriqt
🌎 => 🌎, amtiweg timrikin
🌏 => 🌏, amtiweg asya ustralya
🗺 => 🗺, takarḍa n umaḍal
🗾 => 🗾, takarḍa n Japun
🧭 => 🧭, tabusult
🏔 => 🏔, adrar n udfel
⛰ => ⛰, adrar
🌋 => 🌋, aburkan
🗻 => 🗻, Taqacuct Fuji
🏕 => 🏕, asdar
🏜 => 🏜, aneẓruf
🏝 => 🏝, tigzirt taneẓruft
🏞 => 🏞, amṛaḥ aɣelnaw
🏟 => 🏟, annar
🏛 => 🏛, amedruz aklasikan
🏗 => 🏗, bennu n uzadaɣ
🧱 => 🧱, Tayajuṛt
🏘 => 🏘, ixxamen
🏚 => 🏚, axxam yettwaḍeggren
🏠 => 🏠, axxam
🏡 => 🏡, axxam s tmazirt
🏢 => 🏢, aṣuk n tnariyin
🏣 => 🏣, tanazent tajapunit
🏤 => 🏤, tanarit n tnazent
🏥 => 🏥, Asegnaf
🏦 => 🏦, tabanka
🏨 => 🏨, asensu
🏩 => 🏩, asensu n tayri
🏪 => 🏪, talzuzt
🏫 => 🏫, aɣerbaz
🏬 => 🏬, taḥanut meqqren
🏭 => 🏭, taneɣraft
🏯 => 🏯, tiɣremt tajapunit
🏰 => 🏰, tiɣremt
💒 => 💒, tissulya
🗼 => 🗼, Tiɣremt n Tokyo
🗽 => 🗽, lemqam n tlelli
⛪ => ⛪, tamezgida n imasiḥiyen
🕌 => 🕌, tamezgida n inselmen
🕍 => 🕍, tamezgida n udayen
⛩ => ⛩, lemqam shrine
🕋 => 🕋, lkaɛva
⛲ => ⛲, tala
⛺ => ⛺, aqiḍun
🌁 => 🌁, agu
🌃 => 🌃, iḍ s itran
🏙 => 🏙, tamdint
🚇 => 🚇, amitṛu
🚈 => 🚈, amitru afess
🚓 => 🚓, Takerrust n temsulta
🚕 => 🚕, Ataksi
🚗 => 🚗, Takerrust
🛹 => 🛹, Avilu
🚨 => 🚨, Taftilt n tkerrust n tmsulta
✈ => ✈, asafag
🛩 => 🛩, asafag ameẓyan
💺 => 💺, tasɣimt
🚁 => 🚁, talikuptirt
🛰 => 🛰, Aṣatilit
🚀 => 🚀, tallunt
🛸 => 🛸, taɣawsa tarussint yettafgen
⌛ => ⌛, tamrilt n ijdan
⏳ => ⏳, tamrilt n ijdan yettmirin
⌚ => ⌚, tamrilt
⏱ => ⏱, amesnakud
⏲ => ⏲, Asakway
🌡 => 🌡, atirmumitr
☀ => ☀, iṭij
☁ => ☁, asigna
⛅ => ⛅, asigna, iṭij
🌤 => 🌤, asigna, iṭij
🌫 => 🌫, asigna
🔥 => 🔥, times
🎃 => 🎃, taxsayt
🎆 => 🎆, asfugel
🎇 => 🎇, ifṭiwej
✨ => ✨, itran
🎈 => 🎈, asfugel
🎀 => 🎀, asfugel
🎫 => 🎫, atiki
🎖 => 🎖, ciɛa taserdasant
🏆 => 🏆, arraz
