😀 => 😀, ပြုံးဖြဲဖြဲ၊ မျက်နှာ
😁 => 😁, မျက်လုံး၊ ပြုံး၊ ပြုံးဖြဲဖြဲ၊ မျက်နှာ
😂 => 😂, ပျော်ရွှင်မှု၊ မျက်ရည်၊ မျက်နှာ
😃 => 😃, ပါးစပ်၊ ဟ၊ ပြုံး၊ မျက်နှာ
😄 => 😄, ပါးစပ်၊ ဟ၊ မျက်လုံး၊ ပြုံး၊ မျက်နှာ
😅 => 😅, ပါးစပ်၊ ဟ၊ ဇောချွေး၊ ပြုံး၊ မျက်နှာ
😆 => 😆, ပါးစပ်၊ ဟ၊ မျက်စိ၊ မှိတ်၊ ပြုံး၊ မျက်နှာ
😉 => 😉, မျက်စိမှိတ်၊ မျက်နှာ
😊 => 😊, မျက်လုံး၊ ပြုံး၊ မျက်နှာ
😋 => 😋, အရသာ၊ မျက်နှာ
😎 => 😎, နေကာမျက်မှန်၊ နေ၊ တောက်ပ၊ မျက်နှာ၊ ပြုံး၊ မိုးလေဝသ၊ မျက်မှန်၊
😍 => 😍, နှလုံး၊ ချစ်၊ ပြုံး၊ မျက်နှာ
😘 => 😘, အနမ်း၊ နှလုံး၊ မျက်နှာ
😗 => 😗, နမ်း၊ မျက်နှာ
😙 => 😙, ပြုံး၊ မျက်လုံး၊ မျက်နှာ၊ နမ်း
😚 => 😚, မျက်စိ၊ မှိတ်၊ နမ်း၊ မျက်နှာ
☺ => ☺, ပြုံး၊ မျက်နှာ၊ သက်တောင့်သက်သာ၊
🙂 => 🙂, ပြုံး၊ မျက်နှာ
🤗 => 🤗, ပွေ့ဖက်၊ မျက်နှာ
😇 => 😇, ရောက်လျှံစက်၀န်း၊ မျက်နှာ၊ ဒဏ္ဍာရီ၊ ပုံပြင်၊ စိတ်ကူးယဥ်၊ ပြုံး
🤔 => 🤔, စဥ်းစား၊ မျက်နှာ
😐 => 😐, မျက်နှာသေ၊ မျက်နှာ၊
😑 => 😑, မျက်နှာ၊ ခံစားမှုမဲ့၊ အသက်မပါ
😶 => 😶, ပါးစပ်၊ မျက်နှာ၊ တိတ်၊ ငြိမ်
🙃 => 🙃, ဇောက်ထိုး၊ မျက်နှာ
😷 => 😷, ကျန်းမာရေး၊ မျက်နှာဖုံး၊ မျက်နှာ
🤒 => 🤒, သာမိုမီတာ၊ မျက်နှာ
🤕 => 🤕, ပတ်တီး၊ မျက်နှာ
