😀 => 😀, چہرہ؛ منہ؛ کھلا؛ ہنسی
😁 => 😁, آنکھ؛ چہرہ؛ منہ؛ کھلا؛ ہنسنا؛ مسکراہٹ
😂 => 😂, چہرہ؛ خوشی؛ ہنسی؛ آنسو
😃 => 😃, چہرہ؛ منہ؛ مسکراہٹ
😄 => 😄, آنکھ؛ چہرہ؛ منہ؛ مسکراہٹ
😅 => 😅, ٹھنڈ؛ چہرہ؛ مسکراہٹ؛ پسینہ
😆 => 😆, چہرہ؛ ہنسی؛ منہ؛ مطمئن؛ مسکراہٹ
😉 => 😉, چہرہ؛ آنکھ جھپکنا
😊 => 😊, چہرہ؛ آنکھ؛ مسکراہٹ
😋 => 😋, مزیدار؛ چہرہ؛ مسکراہٹ
😎 => 😎, چمکیلا؛ آنکھ؛ سورج؛ دھوپ؛ چشمہ؛ مسکراہٹ
😍 => 😍, آنکھ؛ چہرہ؛ دل؛ پیار
😘 => 😘, چہرہ؛ دل؛ بوسہ
😗 => 😗, چہرہ؛ بوسہ
😙 => 😙, آنکھ؛ چہرہ؛ بوسہ؛ مسکراہٹ
😚 => 😚, بند؛ آنکھ؛ چہرہ؛ بوسہ
☺ => ☺, چہرہ؛ مسکراہٹ؛ پر سکون
🙂 => 🙂, چہرہ؛ مسکراہٹ
🤗 => 🤗, چہرہ؛ گلے ملنا
😇 => 😇, فرشتہ؛ چہرہ؛ معصوم؛ مسکراہٹ؛ افسانوی
🤔 => 🤔, چہرہ؛ سوچنا
😐 => 😐, غیر جانبدار؛ چہرہ
😑 => 😑, بغیر تاثر؛ چہرہ
😶 => 😶, چہرہ؛ منہ؛خاموشی
🙄 => 🙄, چہرہ؛ آنکھیں؛ گھومنا
😏 => 😏, چہرہ؛ طنزیہ
😣 => 😣, پُرعظم؛ چہرہ
😥 => 😥, مایوس؛ چہرہ؛ پر سکون
😮 => 😮, چہرہ؛ منہ؛ کھلا ہوا
🤐 => 🤐, چہرہ؛ منہ؛ سلا ہوا
😯 => 😯, حیرت؛ چہرہ
😪 => 😪, چہرہ؛ غنودگی
😫 => 😫, چہرہ؛ تھکان
😴 => 😴, چہرہ؛ سونا
😌 => 😌, پُر سکون؛ چہرہ
🤓 => 🤓, بیوقوفانہ؛ چہرہ
😛 => 😛, چہرہ؛ زبان
😜 => 😜, آنکھ؛ چہر؛ مزاق؛ زبان
😝 => 😝, آنکھ؛ چہرہ؛ زبان؛ خوفناک
☹ => ☹, چہرہ؛ تیوری
🙁 => 🙁, چہرہ؛ تیوری
😒 => 😒, چہرہ؛ نا خوش
😓 => 😓, ٹھنڈ؛ چہرہ؛ پسینہ
