🤣 => 🤣, cara, risa, rodando, rodando pel suelu de risa, suelu
😂 => 😂, allegría, cara, cara llorando d’allegría, llárima, risa
😘 => 😘, besu, cara, cara tirando un besu
😗 => 😗, besu, cara, cara besando
☺ => ☺, cara sorriendo
🤳 => 🤳, selfie
👅 => 👅, cuerpu, llingua
👄 => 👄, boca, llabios
💏 => 💏, besu
👪 => 👪, familia
💍 => 💍, aniellu, diamante
💎 => 💎, diamante, piedra preciosa, xema, xoya
🔟 => 🔟, tecles
🇦🇨 => 🇦🇨, bandera Islla Ascensión
🇦🇩 => 🇦🇩, bandera Andorra
🇦🇪 => 🇦🇪, bandera Emiratos Árabes Xuníos
🇦🇫 => 🇦🇫, bandera Afganistán
🇦🇬 => 🇦🇬, bandera Antigua y Barbuda
🇦🇮 => 🇦🇮, bandera Anguila
🇦🇱 => 🇦🇱, bandera Albania
🇦🇲 => 🇦🇲, bandera Armenia
🇦🇴 => 🇦🇴, bandera Angola
🇦🇶 => 🇦🇶, bandera L’Antártida
🇦🇷 => 🇦🇷, bandera Arxentina
🇦🇸 => 🇦🇸, bandera Samoa Americana
🇦🇹 => 🇦🇹, bandera Austria
🇦🇺 => 🇦🇺, bandera Australia
🇦🇼 => 🇦🇼, bandera Aruba
🇦🇽 => 🇦🇽, bandera Islles Aland
🇦🇿 => 🇦🇿, bandera Azerbaixán
🇧🇦 => 🇧🇦, bandera Bosnia y Herzegovina
🇧🇧 => 🇧🇧, bandera Barbados
🇧🇩 => 🇧🇩, bandera Bangladex
🇧🇪 => 🇧🇪, bandera Bélxica
🇧🇫 => 🇧🇫, bandera Burkina Fasu
🇧🇬 => 🇧🇬, bandera Bulgaria
🇧🇭 => 🇧🇭, bandera Baḥréin
🇧🇮 => 🇧🇮, bandera Burundi
🇧🇯 => 🇧🇯, bandera Benín
🇧🇱 => 🇧🇱, bandera San Bartolomé
🇧🇲 => 🇧🇲, bandera Les Bermudes
🇧🇳 => 🇧🇳, bandera Brunéi
🇧🇴 => 🇧🇴, bandera Bolivia
🇧🇶 => 🇧🇶, bandera Caribe neerlandés
🇧🇷 => 🇧🇷, bandera Brasil
🇧🇸 => 🇧🇸, bandera Les Bahames
🇧🇹 => 🇧🇹, bandera Bután
🇧🇻 => 🇧🇻, bandera Islla Bouvet
🇧🇼 => 🇧🇼, bandera Botsuana
🇧🇾 => 🇧🇾, bandera Bielorrusia
🇧🇿 => 🇧🇿, bandera Belize
🇨🇦 => 🇨🇦, bandera Canadá
🇨🇨 => 🇨🇨, bandera Islles Cocos (Keeling)
🇨🇩 => 🇨🇩, bandera Congu  Kinxasa
🇨🇫 => 🇨🇫, bandera República Centroafricana
🇨🇬 => 🇨🇬, bandera Congu  Brazzaville
🇨🇭 => 🇨🇭, bandera Suiza
🇨🇮 => 🇨🇮, bandera Costa de Marfil
🇨🇰 => 🇨🇰, bandera Islles Cook
🇨🇱 => 🇨🇱, bandera Chile
🇨🇲 => 🇨🇲, bandera Camerún
🇨🇳 => 🇨🇳, bandera China
🇨🇴 => 🇨🇴, bandera Colombia
🇨🇵 => 🇨🇵, bandera Islla Clipperton
🇨🇷 => 🇨🇷, bandera Costa Rica
🇨🇺 => 🇨🇺, bandera Cuba
🇨🇻 => 🇨🇻, bandera Cabu Verde
🇨🇼 => 🇨🇼, bandera Curaçao
🇨🇽 => 🇨🇽, bandera Islla Christmas
🇨🇾 => 🇨🇾, bandera Xipre
🇨🇿 => 🇨🇿, bandera Chequia
🇩🇪 => 🇩🇪, bandera Alemaña
🇩🇬 => 🇩🇬, bandera Diego Garcia
🇩🇯 => 🇩🇯, bandera Xibuti
🇩🇰 => 🇩🇰, bandera Dinamarca
🇩🇲 => 🇩🇲, bandera Dominica
🇩🇴 => 🇩🇴, bandera República Dominicana
🇩🇿 => 🇩🇿, bandera Arxelia
🇪🇦 => 🇪🇦, bandera Ceuta y Melilla
🇪🇨 => 🇪🇨, bandera Ecuador
🇪🇪 => 🇪🇪, bandera Estonia
🇪🇬 => 🇪🇬, bandera Exiptu
🇪🇭 => 🇪🇭, bandera Sáḥara Occidental
🇪🇷 => 🇪🇷, bandera Eritrea
🇪🇸 => 🇪🇸, bandera España
🇪🇹 => 🇪🇹, bandera Etiopía
🇪🇺 => 🇪🇺, bandera Xunión Europea
🇫🇮 => 🇫🇮, bandera Finlandia
🇫🇯 => 🇫🇯, bandera Islles Fixi
🇫🇰 => 🇫🇰, bandera Falkland Islands
🇫🇲 => 🇫🇲, bandera Micronesia
🇫🇴 => 🇫🇴, bandera Islles Feroe
🇫🇷 => 🇫🇷, bandera Francia
🇬🇦 => 🇬🇦, bandera Gabón
🇬🇧 => 🇬🇧, bandera Reinu Xuníu
🇬🇩 => 🇬🇩, bandera Granada
🇬🇪 => 🇬🇪, bandera Xeorxa
🇬🇫 => 🇬🇫, bandera Guyana Francesa
🇬🇬 => 🇬🇬, bandera Guernsey
🇬🇭 => 🇬🇭, bandera Ghana
🇬🇮 => 🇬🇮, bandera Xibraltar
🇬🇱 => 🇬🇱, bandera Groenlandia
🇬🇲 => 🇬🇲, bandera Gambia
🇬🇳 => 🇬🇳, bandera Guinea
🇬🇵 => 🇬🇵, bandera Guadalupe
🇬🇶 => 🇬🇶, bandera Guinea Ecuatorial
🇬🇷 => 🇬🇷, bandera Grecia
🇬🇸 => 🇬🇸, bandera Islles Xeorxa del Sur y Sandwich del Sur
🇬🇹 => 🇬🇹, bandera Guatemala
🇬🇺 => 🇬🇺, bandera Guam
🇬🇼 => 🇬🇼, bandera Guinea-Bisáu
🇬🇾 => 🇬🇾, bandera Guyana
🇭🇰 => 🇭🇰, bandera ARE China de Ḥong Kong
🇭🇲 => 🇭🇲, bandera Islles Heard y McDonald
🇭🇳 => 🇭🇳, bandera Hondures
🇭🇷 => 🇭🇷, bandera Croacia
🇭🇹 => 🇭🇹, bandera Haití
🇭🇺 => 🇭🇺, bandera Hungría
🇮🇨 => 🇮🇨, bandera Islles Canaries
🇮🇩 => 🇮🇩, bandera Indonesia
🇮🇪 => 🇮🇪, bandera Irlanda
🇮🇱 => 🇮🇱, bandera Israel
🇮🇲 => 🇮🇲, bandera Islla de Man
🇮🇳 => 🇮🇳, bandera India
🇮🇴 => 🇮🇴, bandera Territoriu Británicu del Océanu Índicu
🇮🇶 => 🇮🇶, bandera Iraq
🇮🇷 => 🇮🇷, bandera Irán
🇮🇸 => 🇮🇸, bandera Islandia
🇮🇹 => 🇮🇹, bandera Italia
🇯🇪 => 🇯🇪, bandera Jersey
🇯🇲 => 🇯🇲, bandera Xamaica
🇯🇴 => 🇯🇴, bandera Xordania
🇯🇵 => 🇯🇵, bandera Xapón
🇰🇪 => 🇰🇪, bandera Kenia
🇰🇬 => 🇰🇬, bandera Kirguistán
🇰🇭 => 🇰🇭, bandera Camboya
🇰🇮 => 🇰🇮, bandera Kiribati
🇰🇲 => 🇰🇲, bandera Les Comores
🇰🇳 => 🇰🇳, bandera Saint Kitts y Nevis
🇰🇵 => 🇰🇵, bandera Corea del Norte
