🏻 => 🏻, faʻahinga 1–2, hinehina, kili
🏼 => 🏼, faʻahinga 3, kelokelo, kili
🏽 => 🏽, faʻahinga 4, kili, melomelo
🏾 => 🏾, faʻahinga 5, ʻuliʻuli, kili, kili melomelo-ʻuliʻuli, melomelo
🏿 => 🏿, faʻahinga 6, ʻuliʻuli, kili
♪ => ♪, nota vaevalu, tuʻungafasi
♭ => ♭, falati, tuʻungafasi
♯ => ♯, saapa, tuʻungafasi
😀 => 😀, mata fiefia
😃 => 😃, mata fiefia moe kanoʻimata lalahi
😄 => 😄, mata fiefia moe kanoʻimata malimali
😁 => 😁, mata ina moe kanoʻimata malimali
😆 => 😆, mata fiefia moe tetepa
😅 => 😅, mata fiefia moe tautaʻa
🤣 => 🤣, mata kata moe teka faliki
😂 => 😂, mata moe loʻimata fiefia
🙂 => 🙂, mata kiʻi malimali
🙃 => 🙃, mata fulihi
😉 => 😉, mata fakakuitaha
😊 => 😊, mata malimali moe kanoʻimata malimali
😇 => 😇, mata malimali moe takaniko
🥰 => 🥰, mata malimali moe mafu ʻe 3
😍 => 😍, mata malimali moe kanoʻimata mafu
🤩 => 🤩, mata fetuʻu
😘 => 😘, mata ʻoku puhi ʻae ʻuma
😗 => 😗, mata ʻuma
☺ => ☺, mata malimali
😚 => 😚, mata ʻuma moe kanoʻimata kuikui
😙 => 😙, mata ʻuma moe kanoʻimata malimali
🥲 => 🥲, mata malimali moe loʻimata
😋 => 😋, mataʻi ʻuakai
😛 => 😛, mata moe ʻelelo
😜 => 😜, mata kuitaha moe ʻelelo
🤪 => 🤪, mata masoli
😝 => 😝, mata tetepa moe ʻelelo
🤑 => 🤑, mata ngutu-paʻanga
🤗 => 🤗, mata fāʻufua
🤭 => 🤭, mata moe nima ʻi muʻa ʻoe ngutu
🤫 => 🤫, mata fiemaʻu fakalongolongo
🤔 => 🤔, mataʻi fakakaukau
🤐 => 🤐, mata moe ngutu meʻa-fakamaʻu-fusi
🤨 => 🤨, mata moe kemo mahiki
😐 => 😐, mata noa pē
😑 => 😑, mata matanoa
😶 => 😶, ʻikai, mata, mata taʻengutu, ngutu
😶‍🌫 => 😶‍🌫, mata ʻihe ʻao
😏 => 😏, mata katakata manuki
😒 => 😒, mata taʻefiefia
🙄 => 🙄, mata kilokilo
😬 => 😬, mata mioʻi
😮‍💨 => 😮‍💨, mata hō
🤥 => 🤥, mata moe ihu lōloa
😌 => 😌, mata fakanongononga
😔 => 😔, mata fakalaulauloto
😪 => 😪, mata fiemohea
🤤 => 🤤, mata ngutu hafu fāvai
😴 => 😴, mata mohe
😷 => 😷, mata moe pūloa fakafaitoʻo
🤒 => 🤒, mata moe meʻafuamafana
🤕 => 🤕, mata moe haʻi lavea
🤢 => 🤢, mata kavahia
🤮 => 🤮, mata lua
🤧 => 🤧, mata mafatua
🥵 => 🥵, mata vevela
🥶 => 🥶, mata momoko
🥴 => 🥴, mata konā
😵 => 😵, mata ninimo
😵‍💫 => 😵‍💫, mata takatakai
🤯 => 🤯, mata pahū
🤠 => 🤠, mata moe tatā fakakaupoe
🥳 => 🥳, mata paati
🥸 => 🥸, mata fakapuli
😎 => 😎, mata malimali moe matasioʻatalaʻā
🤓 => 🤓, mata moe matasioʻata lahi
🧐 => 🧐, mata moe matasioʻata tafaʻaki taha
😕 => 😕, mata puputuʻu
😟 => 😟, mata lotohohaʻa
🙁 => 🙁, mata kiʻi fingo
☹ => ☹, mata fingo
😮 => 😮, mata moe ngutu fakamanga
😯 => 😯, mata longo
😲 => 😲, mata ʻohovale
😳 => 😳, mata pahapaha
🥺 => 🥺, mata kole
😦 => 😦, mata fingo moe ngutu fakamanga
😧 => 😧, mata lotomamahi
😨 => 😨, mata fakamanavahē
😰 => 😰, mata lotomoʻua moe tautaʻa
😥 => 😥, mata lotomamahi kā fakanongononga
😢 => 😢, mata loʻimata
😭 => 😭, mata loʻimata lahi
😱 => 😱, mata ʻoku kekekeke he manavahē
😖 => 😖, mata fakapuputuʻu
😣 => 😣, mata lotokītaki
