😀 => 😀, صورت؛ خنده
😁 => 😁, چشم؛ صورت؛ لبخند؛ خنده
😂 => 😂, صورت؛ خوشحالی؛ خنده بلند؛ اشک
😃 => 😃, صورت؛ دهان؛ باز؛ لبخند؛ خنده
😄 => 😄, چشم؛ صورت؛ دهان؛ باز؛ خنده؛ لبخند
😅 => 😅, صورت؛ دهان؛ باز؛ خنده؛ عرق؛ شادی، لبخند
😆 => 😆, صورت؛ خنده؛ دهان؛ باز؛ خوشحالی؛ شادی؛ لبخند
😉 => 😉, صورت؛ چشمک
😊 => 😊, صورت؛ سرخ شدن؛ چشم؛ لبخند؛ خجالت
😋 => 😋, صورت؛ خوشمزه؛ به‌به؛ لبخند؛ لذیذ
😎 => 😎, صورت؛ جالب؛ عینک آفتابی؛ لبخند؛ خورشید؛ روشن؛ عینک؛ آب‌وهوا؛ چشم
😍 => 😍, چشم؛ صورت؛ قلب؛ عشق؛ عاشق؛ لبخند
😘 => 😘, صورت؛ قلب؛ بوسیدن؛ بوسه
😗 => 😗, صورت؛ بوسه؛ بوسیدن
😙 => 😙, صورت؛ چشم؛ بوسیدن؛ لبخند؛ بوسه
😚 => 😚, صورت؛ چشم بسته؛ چشم؛ بسته؛ بوسیدن؛ بوسه
☺ => ☺, صورت؛ آرام؛ چشم بسته؛ لبخند؛ چشم؛ بسته
🙂 => 🙂, صورت؛ لبخند
🤗 => 🤗, صورت؛ آغوش؛ در آغوش گرفتن؛ بغل کردن؛ لبخند
😇 => 😇, فرشته؛ صورت؛ پری؛ فانتزی؛ معصوم؛ لبخند؛ ملیح؛ مقدس
🤔 => 🤔, صورت؛ فکر کردن؛ متفکر؛ تفکر
😐 => 😐, بی‌روح؛ صورت؛ خنثی؛ بی‌طرف
😑 => 😑, بی‌حالت؛ صورت؛ بدون حالت؛ بدون احساس
😶 => 😶, صورت؛ دهان؛ ساکت؛ آرام؛ بی‌صدا
🙄 => 🙄, چشم؛ صورت؛ نگاه عاقل اندر سفیه؛ کلافه
😏 => 😏, صورت؛ پوزخند؛ تمسخر
😣 => 😣, صورت؛ پافشاری؛ تلاش؛ استقامت
😥 => 😥, ناراحت؛ صورت؛ غمگین؛ ناامید؛ آسوده خاطر؛ راحت شدن؛ آخیش
😮 => 😮, صورت؛ دهان؛ باز؛ همدردی؛ غافلگیری؛ تعجب
🤐 => 🤐, صورت؛ دهان؛ قفل؛ زیپ؛ قابل اعتماد؛ دهان چفت
😯 => 😯, صورت؛ متعجب؛ حیرت‌زده؛ غافلگیر؛ مات؛ مبهوت
😪 => 😪, صورت؛ خواب
😫 => 😫, صورت؛ خسته؛ خستگی
😴 => 😴, صورت؛ خواب؛ خروپف؛ خوابیدن
😌 => 😌, صورت؛ خیال راحت؛ آسوده خاطر
🤓 => 🤓, صورت؛ متفاوت؛ حرفه‌ای؛ خوره
😛 => 😛, صورت؛ زبان
😜 => 😜, صورت؛ چشم؛ شوخی؛ جوک؛ زبان؛ چشمک
😝 => 😝, چشم؛ صورت؛ زشت؛ زبان؛ بدمزه؛ بد؛ چشم بسته
☹ => ☹, صورت؛ اخم
🙁 => 🙁, صورت؛ اخم؛ دلخور
😒 => 😒, صورت؛ بی‌حوصله؛ کسل؛ کسل‌کننده
😓 => 😓, سرما؛ سرد؛ صورت؛ عرق
😔 => 😔, افسرده؛ ناراحت؛ پژمرده؛ صورت؛ غمگین
😕 => 😕, گیج؛ گیج شده؛ صورت؛ مغشوش
😖 => 😖, گیج؛ سردرگم؛ به‌هم‌ریخته؛ صورت
🙃 => 🙃, صورت؛ وارونه؛ لبخند؛ معکوس
😷 => 😷, سرما؛ سرد؛ دکتر؛ صورت؛ ماسک؛ دارو؛ تب؛ بیمار؛ مریض
🤒 => 🤒, صورت؛ بیمار؛ مریض؛ دماسنج؛ تب
🤕 => 🤕, باندپیچی؛ صورت؛ آسیب؛ صدمه؛ زخم؛ حادثه؛ تصادف؛ درد؛ سر
🤑 => 🤑, صورت؛ پول؛ دهان
😲 => 😲, بهت‌زده؛ صورت؛ شوکه شده؛ کاملاً؛ مات؛ متعجب
😞 => 😞, ناامید؛ صورت؛ ناراحت؛ غمگین
😟 => 😟, صورت؛ نگران؛ آشوب
😤 => 😤, صورت؛ برنده؛ پیروزی؛ فتح؛ غرور
😢 => 😢, گریه؛ اشک؛ گریه کردن؛ ناراحت؛ صورت
😭 => 😭, گریه کردن؛ صورت؛ ناراحت؛ هق‌هق؛ اشک
😦 => 😦, صورت؛ اخم؛ دهان؛ باز؛ باورنکردنی؛ توقع نداشتن
😧 => 😧, مضطرب؛ صورت؛ دردمند؛ نگران
😨 => 😨, ترس؛ صورت؛ ترسناک؛ ترسیده
😩 => 😩, صورت؛ خسته؛ بی‌حوصله؛ کسل‌کننده؛ از پا افتاده
😬 => 😬, صورت؛ شکلک؛ ادا و اصول؛ دهن‌کجی؛ منزجر
😰 => 😰, آبی؛ سرد؛ صورت؛ دهان؛ باز؛ عرق؛ ترس
😱 => 😱, صورت؛ ترس؛ ترسناک؛ ترسیده؛ وحشتناک؛ جویدن ناخن از ترس؛ جیغ
😳 => 😳, گیج؛ منگ؛ سرخ شده؛ خجالت
😵 => 😵, گیج؛ صورت
😡 => 😡, عصبانی؛ صورت؛ دیوانه؛ لبو؛ سرخ؛ خشم؛ قرمز؛ خشمگین
😠 => 😠, عصبانی؛ صورت؛ دیوانه
😈 => 😈, صورت؛ جن؛ فانتزی؛ شاخ؛ لبخند؛ مکار؛ شرور
👿 => 👿, دیو؛ شیطان؛ صورت؛ فانتزی
👹 => 👹, جانور؛ صورت؛ جن و پری؛ فانتزی؛ ژاپنی؛ هیولا
👺 => 👺, جانور؛ صورت؛ جن و پری؛ فانتزی؛ ژاپنی؛ هیولا
💀 => 💀, بدن؛ مرگ؛ صورت؛ جن و پری؛ هیولا؛ اسکلت؛ جمجمه
☠ => ☠, بدن؛ علامت؛ خطر؛ مرگ؛ استخوان؛ صورت؛ هیولا؛ جمجمه
👻 => 👻, جانور؛ صورت؛ جن و پری؛ فانتزی؛ هیولا
👽 => 👽, جانور؛ فرازمینی؛ صورت؛ جن و پری؛ فانتزی؛ هیولا؛ فضا؛ فضایی؛ آدم فضایی
👾 => 👾, آدم فضایی؛ بیگانه؛ جانور؛ فرازمینی؛ صورت؛ جن و پری؛ فانتزی؛ هیولا؛ فضا؛ فضایی
🤖 => 🤖, صورت؛ هیولا؛ ربات
💩 => 💩, مصور؛ مدفوع؛ صورت؛ هیولا؛ پی‌پی؛ گه؛ ان؛ پشکل
😺 => 😺, گربه؛ صورت؛ دهان؛ باز؛ خنده
😸 => 😸, گربه؛ چشم؛ صورت؛ لبخند؛ خنده
😹 => 😹, گربه؛ صورت؛ شادی؛ اشک
😻 => 😻, گربه؛ چشم؛ صورت؛ قلب؛ عشق؛ لبخند
😼 => 😼, گربه؛ صورت؛ طعنه؛ لبخند؛ پوزخند
😽 => 😽, گربه؛ چشم؛ صورت؛ بوسه
🙀 => 🙀, گربه؛ صورت؛ وای؛ متعجب؛ غافلگیر؛ بهت‌زده
😿 => 😿, گربه؛ گریه؛ صورت؛ ناراحت؛ اشک
😾 => 😾, گربه؛ صورت؛ اخم
🙈 => 🙈, شر؛ صورت؛ ممنوع؛ اشاره؛ میمون؛ نه؛ نبین؛ دیدن
🙉 => 🙉, شر؛ صورت؛ ممنوع؛ اشاره؛ میمون؛ نه؛ شنیدن
🙊 => 🙊, شر؛ صورت؛ ممنوع؛ اشاره؛ میمون؛ نه؛ نگفتن؛ صحبت
👧 => 👧, دختر؛ دوشیزه؛ باکره
👨 => 👨, مرد؛ آقا
👩 => 👩, زن؛ خانم
👴 => 👴, مرد؛ پیر
👵 => 👵, پیر؛ زن
👶 => 👶, کودک؛ بچه
👱 => 👱, بور؛ بلوند؛ طلایی
👮 => 👮, پلیس؛ افسر
👲 => 👲, کلاه؛ مرد؛ کلاه ژاپنی
👳 => 👳, مرد؛ عمامه
👷 => 👷, ساخت‌وساز؛ کلاه؛ کارگر
⛑ => ⛑, ایمنی؛ صلیب؛ صورت؛ کلاه؛ کلاه ایمنی
👸 => 👸, افسانه؛ جن و پری؛ فانتزی؛ شاهدخت
🕵 => 🕵, کارآگاه؛ جاسوس
🎅 => 🎅, جشن؛ کریسمس؛ جن و پری؛ فانتزی؛ پدر؛ سانتا
👼 => 👼, فرشته؛ کودک؛ بچه؛ صورت؛ پری؛ فانتزی
💆 => 💆, ماساژ؛ سالن
💇 => 💇, آرایشگر؛ زیبایی؛ آرایشگاه
👰 => 👰, عروس؛ تور؛ تاج عروس؛ عروسی
🙍 => 🙍, اخم؛ اشاره
🙎 => 🙎, ژست؛ اخم؛ جمع کردن لب؛ ناراضی
🙅 => 🙅, ممنوع؛ ژست؛ دست؛ نه؛ خیر
🙆 => 🙆, ژست؛ دست؛ اوکی؛ باشه؛ تأیید
💁 => 💁, دست؛ کمک؛ اطلاعات؛ سرزنده
🙋 => 🙋, ژست؛ دست؛ شاد؛ بالا
🙇 => 🙇, عذرخواهی؛ تعظیم؛ ژست؛ متأسف؛ شرمنده
🙌 => 🙌, بدن؛ جشن؛ ژست؛ دست؛ هورا؛ بالا برده؛ تحسین
🙏 => 🙏, درخواست؛ بدن؛ تعظیم؛ ژست؛ دست؛ لطفاً؛ دعا؛ تشکر؛ سپاس
🗣 => 🗣, صورت؛ سر؛ سایه؛ صحبت کردن؛ صحبت
👤 => 👤, ضد نور؛ سایه نما؛ سیلوئت؛ نیم‌تنه؛ نمایه؛ عکس؛ سایه
👥 => 👥, تمام‌رخ جوجه
🚶 => 🚶, پیاده؛ پیاده‌گردی؛ راه رفتن؛ پیاده‌روی
🏃 => 🏃, ماراتن؛ استقامت؛ دو؛ دویدن
👯 => 👯, خرگوش؛ بانی؛ گوش؛ رقاص؛ دختر؛ زن
💃 => 💃, رقاص؛ رقصیدن
🕴 => 🕴, کسب‌وکار؛ شغل آزاد؛ مرد؛ کت و شلوار؛ لباس رسمی
💏 => 💏, زوج؛ عشق؛ داستان عاشقانه
💑 => 💑, زوج؛ عشق؛ قلب؛ داستان عاشقانه
👪 => 👪, کودک؛ فرزند؛ پدر؛ مادر
👫 => 👫, زوج؛ دست؛ دست در دست؛ مرد؛ زن
